ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto
1712886640.67718,CpDeQW3Aq8vc48xeWb,10.30.222.137,56334,128.1.248.178,12370,tcp,http,26.441845,173,177,SF,T,F,0,ShADadFf,6,493,8,601,-,6
1712886819.51931,C13vVd41Jh9Twig4e2,10.30.222.137,53902,47.251.5.25,8742,tcp,http,16.728481,296,282,SF,T,F,0,ShADaFdft,4,512,9,1322,-,6
1712886827.8365,CDEU3i3L7VqDE9Sjhh,10.30.222.137,53908,47.251.5.25,8742,tcp,http,19.517279,210,318,SF,T,F,0,ShADTaFdfR,14,1330,6,646,-,6
1712886827.64176,C0zWJw13JIEHWdk8eh,10.30.222.137,47732,23.237.60.122,80,tcp,http,38.257,684,322,SF,T,F,0,ShADadfF,14,1436,5,590,-,6
1712886808.12748,CjhuT31yzR8qZ9ykJ3,10.30.222.137,41370,104.26.6.35,2082,tcp,http,57.80549,2898,3332,SF,T,F,0,ShADadFf,13,3582,11,3912,-,6
1712886903.07485,CjVGWb2gFXDMLrir8,10.30.222.137,53964,47.251.5.25,8742,tcp,http,19.106038,208,363,SF,T,F,0,ShADTaFdf,7,996,8,795,-,6
1712886929.61191,CXUSCe3lwTTOvUxVkf,10.30.218.112,51002,34.104.35.123,80,tcp,http,2.652753,483,2800,SF,T,F,0,ShADadfF,10,1019,8,3232,-,6
1712886930.37213,CoWouk4YL5QxL94Qqh,10.30.222.137,60588,8.219.89.234,80,tcp,http,5.14464,532,267,SF,T,F,0,ShADadfF,7,904,6,587,-,6
1712886931.29734,CPCYze23XstobkSkwh,10.30.222.137,50944,156.236.118.52,12371,tcp,http,30.330308,174,178,SF,T,F,0,ShADadFf,7,546,5,446,-,6
1712886931.66028,ClsuQDH5PuQvbLBdi,10.30.222.137,56518,128.1.248.178,12370,tcp,http,29.967664,173,178,SF,T,F,0,ShADadFf,7,545,5,446,-,6
1712887012.7792,ClWRdVPEjF8WJt9ub,10.30.222.137,54052,47.251.5.25,8742,tcp,http,16.27989,208,363,SF,T,F,0,ShADaFdft,4,424,9,1565,-,6
1712887012.52717,CoTjdY1SOGUOaICV05,10.30.222.137,54048,47.251.5.25,8742,tcp,http,17.292687,296,282,SF,T,F,0,ShADTaFdf,5,860,7,654,-,6
1712887019.83217,CK6KUY3UP5qWogB5Y1,10.30.222.137,54054,47.251.5.25,8742,tcp,http,20.095387,210,318,SF,T,F,0,ShADTaFdf,7,1002,8,750,-,6
1712886991.55432,CcQ3M048IxSoDpmpH7,10.30.222.137,41596,103.82.219.45,80,tcp,http,51.051875,686,454,SF,T,F,0,ShADadfF,13,1378,5,722,-,6
1712886983.98401,CYFhS22UkmqFLNvWW4,10.30.222.137,47050,208.95.112.1,80,tcp,http,58.72221,216,542,SF,T,F,0,ShADadfF,12,856,5,810,-,6
1712886984.59286,CVfdqBmKgBhfIg549,10.30.222.137,47836,23.237.60.122,80,tcp,http,58.113703,677,623,SF,T,F,0,ShADadfF,13,1369,5,891,-,6
1712887007.99278,CY975R1ndWLP6DAWd1,10.30.222.137,41514,104.26.6.35,2082,tcp,http,34.716713,2898,3354,SF,T,F,0,ShADadFf,13,3582,11,3934,-,6
1712887102.56501,Cb9hBD2OXBcFcs7Ih4,10.30.222.137,54108,47.251.5.25,8742,tcp,http,17.056475,296,282,SF,T,F,0,ShADaFdft,5,572,9,1322,-,6
